key,annotation,en,ja,ru
SettingsMenu.PreviewText,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc mollis vitae tellus a pharetra. Aenean vitae ipsum in est lobortis vulputate a blandit ipsum. Nullam in felis purus. ","斜め七十七度の並びで泣く泣く嘶くナナハン七台難なく並べて長眺め。ばななのなぞは、まだなぞなのだぞ。鹿もカモシカも鹿の仲間, しかしアシカは鹿ではない。蛙ぴょこぴょこ三ぴょこぴょこ合わせてぴょこぴょこ六ぴょこぴょこ。","Шла Саша по шоссе и сосала сушку. Дело было в сентябре, было ей не скушно. Сушка жесткою была, чуть солоновата."
SettingsMenu.Resolution,,Resolution:,解決：,Разрешение:
SettingsMenu.ScreenMode,,Screen mode:,画面モード：,Режим экрана:
SettingsMenu.SkipMode,,Skip mode:,スキップモード：,Режима пропуска:
SettingsMenu.Tab.Basic,,BASIC,ベーシック,ОСНОВНЫЕ
SettingsMenu.Tab.Sound,,SOUND,音,ЗВУК
SettingsMenu.Tab.Text,,TEXT,文章,ТЕКСТ
SettingsMenu.VoiceLanguage,,Voice language:,音声言語：,Озвучка:
SettingsMenu.VolumeEffects,,Effects volume:,効果量：,Эффекты:
SettingsMenu.VolumeMaster,,Master volume:,マスターボリューム：,Общая:
SettingsMenu.VolumeMusic,,Music volume:,音楽の音量：,Музыка:
SettingsMenu.VolumeVoice,,Voice volume:,声の大きさ：,Голос:
TitleMenu.CGGallery,,CG GALLERY,CGギャラリー,ГАЛЕРЕЯ
TitleMenu.Continue,,CONTINUE,継続する,ПРОДОЛЖИТЬ
TitleMenu.Exit,,EXIT,出口,ВЫХОД
TitleMenu.ExternalScripts,,EXTERNAL SCRIPTS,外部スクリプト,EXTERNAL SCRIPTS
TitleMenu.NewGame,,NEW GAME,新しいゲーム,НОВАЯ ИГРА
TitleMenu.Settings,,SETTINGS,設定,НАСТРОЙКИ
TitleMenu.Tips,,TIPS,チップ,ЗАМЕТКИ
VariableInput.Submit,,SUBMIT,送信,ВВОД
